51;Log Book (dibayar 1 kali);1;NULL;20000;4;0;0;0;3;1;NULL
52;Name Tag (dibayar 1 kali);1;NULL;10000;4;0;0;0;3;1;NULL
53;RPS (Resource Person Session);3;NULL;150000;4;0;0;0;4;1;NULL
54;Materi (TAK, Komunikasi Terapeutik, Dokumentasi KeKeperawatanan) ;3;NULL;150000;4;0;0;0;4;1;NULL
55;Ujian;4;NULL;150000;4;0;0;0;6;1;NULL
56;Makan dan Snack Penguji;5;NULL;20000;4;0;0;0;6;1;NULL
57;Bahan Habis Pakai Ujian;2;NULL;100000;4;0;0;0;6;1;NULL
58;Institusional Fee Ujian;6;NULL;150000;4;0;0;0;6;1;NULL
59;Management Fee Ujian;6;NULL;20000;4;0;0;0;6;1;NULL
60;Bed side teaching (BST);2;NULL;50000;0;0;6;0;4;2;NULL
61;Bed side teaching (BST);2;NULL;75000;0;0;7;0;4;2;NULL
62;Bed side teaching (BST);2;NULL;75000;0;0;8;0;4;2;NULL
63;Bed side teaching (BST);2;NULL;75000;0;0;10;0;4;2;NULL
64;Mess Praktikan (3x Makan);4;NULL;100000;0;0;0;0;8;3;NULL
65;Mess Praktikan (Tanpa Makan);4;NULL;20000;0;0;0;0;8;3;NULL
66;Ruang R. Komite Medik;7;NULL;750000;0;0;0;0;7;2;NULL
67;Ruang SPI;7;NULL;500000;0;0;0;0;7;2;NULL
68;Ruang Kelas / Ruang Diskusi;4;NULL;30000;0;0;0;0;7;1;NULL
69;Aula NAPZA;7;NULL;750000;0;0;0;0;7;2;NULL
70;Aula Utama;7;NULL;1000000;0;0;0;0;7;2;NULL
71;Praktik Kerja Lapangan (PKL);8;NULL;100000;0;0;1;0;9;1;NULL
72;Praktik Kerja Lapangan (PKL);8;NULL;100000;0;0;2;0;9;1;NULL
73;Praktik Kerja Lapangan (PKL);8;NULL;100000;0;0;3;0;9;1;NULL
74;Praktik Kerja Lapangan (PKL);8;NULL;200000;0;0;4;0;9;1;NULL
75;Praktik Kerja Lapangan (PKL);8;NULL;200000;0;0;5;0;9;1;NULL
76;Praktik Kerja Lapangan (PKL);8;NULL;200000;0;0;6;0;9;1;NULL
77;Praktik Kerja Lapangan (PKL);8;NULL;250000;0;0;7;0;9;1;NULL
78;Praktik Kerja Lapangan (PKL);8;NULL;250000;0;0;8;0;9;1;NULL
79;Praktik Kerja Lapangan (PKL);8;NULL;350000;0;0;9;0;9;1;NULL
80;Praktik Kerja Lapangan (PKL);8;NULL;350000;0;0;10;0;9;1;NULL
81;Praktik Kerja Lapangan (PKL);8;NULL;250000;0;0;11;0;9;1;NULL
