id_mou;institusi_mou;tgl_mulai_mou;tgl_selesai_mou;no_rsj_mou;no_institusi_mou;jurusan_mou;spek_pdd_mou;jenjang_pdd_mou;akreditasi_mou;ket_mou
44;44;2018-04-30;2021-04-29;-;0324/STIKES-KHG-MOU-IV/2018;;;;;
45;45;2020-12-01;2023-12-01;073/19852/RSJ/XII/2020;67/HO.00.03/TU-STIKESMI/XII/2020;;;;;
46;46;2019-04-15;2022-04-14;073/8115/RSJ;B.010/STIKKU/MoU/IV/2019;;;;;
47;47;2011-03-21;2014-03-20;-;-;;;;;
48;48;2014-01-01;2016-12-31;-;-;;;;;
49;49;2019-01-04;2022-01-03;075/0239/RSJ;057/STIKES-MK/MOU/I/2019;;;;;
50;50;2019-12-14;2022-12-13;073/DIKLIT-5632/III/2016;028/III.3,AU/B/2016;;;;;
51;51;2015-04-06;2018-04-05;073/1965/TSJ;DL.02.02.1965.04.2015;;;;;
52;52;2018-09-14;2021-09-13;119/16549/RSJ;III/884.1/STIKEP/PPNI/JBR/IX/2018;;;;;
53;53;2020-06-26;2023-06-26;119/9816/RSJ;PKS.032/IKR-I/R/VI/2020;;;;;
54;54;2020-12-15;2023-12-15;073/20903/RSJ;017/STIKes-SB/SP-KS/XII/2020;;;;;
55;55;2015-02-12;2018-02-11;073/0954/RSJ;022/D-STIK/UN/II/2015;;;;;
56;56;2014-01-01;2016-12-31;;;;;;;
57;57;2015-01-26;2018-01-25;073/0428/RSJ;?/STIKES-TT/I/2015;;;;;
58;58;2014-03-03;2017-03-02;;;;;;;
59;59;2016-05-02;2019-05-02;073/7945/RSJ/2016;168/STIKES.YSI/V/2016;;;;;
60;60;2020-12-21;2023-12-21;119/21223/RSJ;A-46/MoU/LPPM-STIKesYPIB/XII/2020;;;;;
61;61;2014-09-12;2017-09-11;-;-;;;;;
62;62;2018-11-26;2021-11-25;119/20217A/RSJ;06/FIKES/UNIBA/01/XI/2018;;;;;
63;63;2012-02-15;2015-02-14;-;-;;;;;
64;64;2018-09-12;2021-09-11;119/16531/RSJ;13/4123/AK/KS/R/IX/2018;;;;;
65;65;2019-02-20;2022-02-19;119/3413/RSJ;128/I.0/F/2019;;;;;
66;66;2018-10-15;2021-10-14;119/1864/RSJ;1767/UN47.B7.5.5/F/2018;;;;;
67;67;2020-11-12;2023-11-12;445/18685/RSJ;1621/UN40.C2/HK/2020;;;;;
68;68;2019-01-21;2022-01-20;119/1332/RSJ;0223/UN40.A6/DN/2019;;;;;
69;69;2014-09-04;2017-09-03;-;-;;;;;
70;70;2014-01-01;2016-12-31;-;-;;;;;
71;71;2019-04-16;2022-04-15;119/6207/RSJ;T/5/UN43.2/HK.07.00/2019;;;;;
72;72;2019-02-01;2022-01-31;073/4052/RSJ;003.01/TEDC/MOU-DIR/II/2019;;;;;
73;73;2019-03-28;2022-03-27;073/5921/RSJ;002/FOM-UPH/PKS/III/2019;;;;;
74;74;2019-02-04;2022-02-03;119/2307/RSJ;0098/Q/P.Y.SMI/II/2019;;;;;
75;75;2018-11-09;2021-11-08;119/20494/RSJ;168/AKPER/B-MOU/IX/2018;;;;;
76;76;2019-03-11;2022-03-10;073/4623/RSJ;700/FIKES-UMTAS/III/2019;;;;;
77;77;2018-07-04;2021-07-03;073/11279/RSJ;HK.05.01/1.6/2460/2018;;;;;
78;78;2019-07-10;2022-07-09;073/10034/RSJ;B/13/PL41/HL.04.03/2019;;;;;
79;79;2014-01-01;2016-12-31;-;-;;;;;
80;80;2019-07-01;2022-06-30;073/11145/RSJ;PKS-  /Ffa-UNJANI/VIII/2019;;;;;
81;81;2019-04-26;2022-04-25;070/7441/RSJ;1932/MOU/K/Ka./STIKIM/VI/2019;;;;;
82;82;2019-09-26;2022-09-25;073/16246/RSJ/IX/2019;04/14/UBK/IX/2019;;;;;
83;83;2019-12-16;2022-12-15;073/21320/RSJ/XII/2019;HK.03.01/1.6/0012/2019;;;;;
84;84;2020-07-30;2023-07-30;073/11662/RSJ;888/PL42/KS/2020;;;;;
85;85;2020-11-18;2023-11-18;073/18973/RSJ;247/PKS/UKSW/XI/2020;;;;;
86;86;2020-11-02;2023-11-02;073/16336/RSJ;037/PKS/DN/FKUKMXI/2020;;;;;
101;101;0000-00-00;0000-00-00;;;;;;;
